Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2018","2018","","85","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2019","2019","","71","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2020","2020","","55","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2021","2021","","52","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2022","2022","","71","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2012","2012","","62","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2013","2013","","106","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2014","2014","","106","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2015","2015","","94","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2016","2016","","101","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2017","2017","","122","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2018","2018","","120","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2019","2019","","92","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2020","2020","","91","E","Estimated value"
